URL,Title
https://www.youtube.com/watch?v=hi3eD_BiWCo,US military intercepts Russian Chinese bombers near Alaska | Latest English News | WION
https://www.youtube.com/watch?v=TMF9dWjg8P0,Bangladesh deploys UN-marked vehicles to quell student protests | DW News
https://www.youtube.com/watch?v=uplJnu_e4pc,Olympics opening ceremony 'Last Supper' parody sparks anger among Catholics conservatives
https://www.youtube.com/watch?v=g8q-Nq-ajx8,Social media and teenage health ⏲️ 6 Minute English
https://www.youtube.com/watch?v=rIzGuKppGMA,Priyanka Chopra Jonas on body shaming social media and pay parity - BBC World Service
https://www.youtube.com/watch?v=HHKaTy9hD-E,Harris slams Trump at her first presidential rally
https://www.youtube.com/watch?v=BC3YXRPDcVE,BREAKING: Trump rally shooter bodycam released after assassination attempt | LiveNOW from FOX
https://www.youtube.com/watch?v=L87PAAejHPs,Learn English with the JOE ROGAN PODCAST — Elon Musk
https://www.youtube.com/watch?v=lCwHWH8T2ck,How is the loneliness epidemic affecting society? | The Stream
https://www.youtube.com/watch?v=C0BTI3l9tdc,US hails productive talks with China at ASEAN summit | DW News
https://www.youtube.com/watch?v=ICiLNX-EGmY,Are you addicted to social media?
https://www.youtube.com/watch?v=-mvUkiILTqI,LIVE: Latest News Headlines and Events l ABC News Live
https://www.youtube.com/watch?v=REz6UwO6i_8,Cheap Indian Slippers Being Sold In Saudi Arabia For Nearly $1200 | Firstpost America
https://www.youtube.com/watch?v=LYJw0vYm_FY,Russia-Ukraine war LIVE: Russia burns NATO weapons; 2000 Ukrainians troops 'Killed' | WION LIVE
https://www.youtube.com/watch?v=66cD5En8Vfg,Social Media is Making Us Unsocial | Kristin Gallucci | TEDxBocaRaton
https://www.youtube.com/watch?v=AjtX1N_VT9E,MIT 6.S191 (2021): Convolutional Neural Networks
https://www.youtube.com/watch?v=Y4X-OYFEPLM,The dangers of social media addiction
https://www.youtube.com/watch?v=oqzf48e_Wu0,US finance regulators investigate Donald Trump's new social media deal | Latest World English News
https://www.youtube.com/watch?v=3Ak8sDGZv9o,Live: Israeli Prime Minister Netanyahu addresses US Congress | DW News
https://www.youtube.com/watch?v=FZDImEiPgMk,Feed your brain ⏲️ 6 Minute English
https://www.youtube.com/watch?v=u2NuUWuwPCM,TRANSFORMERS ONE | Official Trailer 2 (2024 Movie) - Chris Hemsworth Brian Tyree Henry
https://www.youtube.com/watch?v=2_QCQyvuuo8,'We did it!': France celebrates successful Olympics opening ceremony despite challenges
https://www.youtube.com/watch?v=iCRDQl9hosw,Paris Olympics:  arson attacks bring chaos to French rail network before opening ceremony | BBC News
https://www.youtube.com/watch?v=o7fT3gE76xg,Paris Olympics 2024: Grand Opening Ceremony Sparks Massive Uproar For ‘Anti-Christianity’ Acts
https://www.youtube.com/watch?v=F8p8uPjgziw,Paris set for 2024 Olympics opening ceremony as security tightened | BBC News
https://www.youtube.com/watch?v=I2A66Cg1Taw,Deadpool & Wolverine Movie Review | Yogi Bolta Hai
https://www.youtube.com/watch?v=flIEvHbIuSE,Zelensky sacks Ukraine's ambassador to UK after criticism | English News | WION
https://www.youtube.com/watch?v=R_ysuDvQmJY,IAS Smita Sabharwal's Disability Quota Remark Draws Massive Criticism & Other News
https://www.youtube.com/watch?v=rIzGuKppGMA,Priyanka Chopra Jonas on body shaming social media and pay parity - BBC World Service
https://www.youtube.com/watch?v=olvcGbTgWhU,Pakistan Military Brushes Aside Criticism Of New ‘Vision’ | Dawn News English
https://www.youtube.com/watch?v=NFt3eJbCuyo,Shashi Tharoor’s Stinging Criticism Of Sitharaman’s Budget 2024; ‘Modi Govt Has Run Out Of Ideas…’
https://www.youtube.com/watch?v=Ast-229boF8,Sleep Will Not Fix Your Fatigue. Here's Why. | Vantage with Palki Sharma
https://www.youtube.com/watch?v=2PUiopS8GrQ,How BeerBiceps became a 100 crores Media Giant?  | Indian Business Podcast : Episode 11
https://www.youtube.com/watch?v=okBDHGELXw4,Italian PM Giorgia Meloni in China To Meet President Xi Jinping
https://www.youtube.com/watch?v=FcKZplaD10E,Son of slain Canadian Sikh leader speaks out on allegations India responsible for father's murder
https://www.youtube.com/watch?v=_28spruOBJk,Santos faces fresh criticism after admitting to falsifying resume I English News I WION
https://www.youtube.com/watch?v=cexg2rsRF_4,Do Institutions Need Shielding From Criticism? | Spotlight | Dawn News English
https://www.youtube.com/watch?v=XjRD1HQRuGU,India Gives Reality Check To U.S. Over Criticism Of PM Modi’s Russia Visit: ‘You Must Understand…’
https://www.youtube.com/watch?v=wifGiwBXIjg,BJP Panelist Shuts Down Congress' Criticism Of PM Modi | Watch | English News
https://www.youtube.com/watch?v=e4CERhKjP6I,Amazon's bid to mute criticism in China | Latest World English News | Top Headlines
